source,idx,topic,agent_html,human_url
economist,00,TV's golden age is real,file:///Users/forrest/Desktop/data2blog/project/economist/00_tvs-golden-age-is-real/blog_opus47_0428_0011/index.html,https://www.economist.com/graphic-detail/2018/11/24/tvs-golden-age-is-real
economist,01,The Oscars' influence has waned,file:///Users/forrest/Desktop/data2blog/project/economist/01_the-oscars-influence-has-waned/blog_opus47_0428_0011/index.html,https://www.economist.com/graphic-detail/2019/03/02/the-oscars-influence-has-waned
economist,03,The space race is dominated by new contenders,file:///Users/forrest/Desktop/data2blog/project/economist/03_the-space-race-is-dominated-by-new-contenders/blog_opus47_0428_0027/index.html,https://www.economist.com/graphic-detail/2018/10/18/the-space-race-is-dominated-by-new-contenders
economist,04,Managers in football matter much less than most fans think,file:///Users/forrest/Desktop/data2blog/project/economist/04_managers-in-football-matter-much-less-than-most-fa/blog_opus47_0428_0027/index.html,https://www.economist.com/graphic-detail/2019/01/19/managers-in-football-matter-much-less-than-most-fans-think
economist,07,Democracies contain epidemics most effectively,file:///Users/forrest/Desktop/data2blog/project/economist/07_democracies-contain-epidemics-most-effectively/blog_opus47_0428_0041/index.html,https://www.economist.com/graphic-detail/2020/06/06/democracies-contain-epidemics-most-effectively
pudding,04,They Won't Play a Lady-O on Country Radio,file:///Users/forrest/Desktop/data2blog/project_apr25/pudding/04_country-radio-data/blog_opus47_0425_0012/index.html,https://pudding.cool/2023/05/country-radio/
pudding,53,Baking the Most Average Chocolate Chip Cookie,file:///Users/forrest/Desktop/data2blog/project_apr25/pudding/53_cookies/blog_opus47_0424_0949/index.html,https://pudding.cool/2018/05/cookies
pudding,54,One-Hit Wonders in Sports,file:///Users/forrest/Desktop/data2blog/project_apr25/pudding/54_one-hit-wonders/blog_opus47_0424_1013/index.html,https://pudding.cool/2018/04/one-hit-wonders
pudding,57,The Structure of Stand-Up Comedy,file:///Users/forrest/Desktop/data2blog/project_apr25/pudding/57_stand-up/blog_opus47_0424_1334/index.html,https://pudding.cool/2018/02/stand-up
pudding,62,NBA Last Two Minute Report,file:///Users/forrest/Desktop/data2blog/project_apr25/pudding/62_last-two-minute-report/blog_opus47_0424_1415/index.html,https://pudding.cool/2017/02/two-minute-report
tidytuesday,02,Repair Cafes Worldwide,file:///Users/forrest/Desktop/data2blog/project/tidytuesday/02_repair-cafes-worldwide/blog_opus47_0428_0056/index.html,https://insideclimatenews.org/news/11112025/todays-climate-repair-cafe-consumer-waste/
tidytuesday,03,Bird Sightings at Sea,file:///Users/forrest/Desktop/data2blog/project/tidytuesday/03_bird-sightings-at-sea/blog_opus47_0428_0057/index.html,https://obis.org/dataset/29ea15ed-8f76-40ca-bd14-58c62e10b2ef
tidytuesday,07,The History of Himalayan Mountaineering Expeditions,file:///Users/forrest/Desktop/data2blog/project/tidytuesday/07_the-history-of-himalayan-mountaineering-expedition/blog_opus47_0428_1542/index.html,https://www.himalayandatabase.com/index.html
tidytuesday,09,Long Beach Animal Shelter,file:///Users/forrest/Desktop/data2blog/project/tidytuesday/09_long-beach-animal-shelter/blog_opus47_0428_1621/index.html,https://www.longbeach.gov/press-releases/long-beach-animal-care-services-hits-highest-adoption-rate-ever-surpasses-2024--strategic-plan-goal/
tidytuesday,12,Timely and Effective Care by US State,file:///Users/forrest/Desktop/data2blog/project/tidytuesday/12_timely-and-effective-care-by-us-state/blog_opus47_0428_1717/index.html,https://www.visualcapitalist.com/mapped-emergency-room-visit-times-by-state/
tidytuesday,14,The xkcd Color Survey Results,file:///Users/forrest/Desktop/data2blog/project/tidytuesday/14_the-xkcd-color-survey-results/blog_opus47_0428_1740/index.html,https://blog.xkcd.com/2010/05/03/color-survey-results/
